# Number of fleets 
3 
# Catch unit for each fleet (0-Number(Million); 1-Biomass(1000mt)) 
0 0 0
0 0 0
# Start size bin of selectivity for each fleet 
1 1 1
1 1 1
# End size bin of selectivity for each fleet 
25 25 25
25 25 25
# Likelihood function of length composition data for each fleet (1-multinomial; 2-robust normal) 
1 1 1
1 1 1
# Likelihood function of total catch for each fleet 
4 4 4
4 4 4
# Likelihood function of CPUE for each fleet 
4 4 4
4 4 4
# Lambda value of composition component in objective function for each fleet 
1 1 1
1 1 1
# Lambda value of total catch in objective function for each fleet 
1 1 1
1 1 1
# Lambda value of CPUE in objective function for each fleet 
0 0 0
0 0 0
# Number of data points for catch data 
180 
# #Year, timestep, Fleet, Total Catch 
1985	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1986	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1987	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1988	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1989	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1990	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1991	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1992	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1993	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1994	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1995	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1996	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1997	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1998	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1999	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2000	1	2	240.3773	0.1	-1	1	-1	23.09	4.8175	5.9598	4.7443	2.1323	1.0459	0.2923	0.2398	0.976	2.5635	3.8041	2.5525	5.3537	14.3233	21.6764	40.0257	56.3504	39.8061	20.2839	8.1339	3.7654	1.1316	0.3917	0.0071	0	0
2001	1	2	132.9043	0.1	-1	1	-1	47.78	0.1334	0.1258	0.0796	0.4271	1.2521	4.1495	11.482	13.107	10.072	5.0429	2.3314	3.2375	5.8691	9.5288	15.2893	20.0129	17.8846	8.7568	3.1212	0.8557	0.125	0.0207	0	0	0
2002	1	2	42.1244	0.1	-1	1	-1	59.35	0.0806	0.3232	0.5731	0.8228	0.3955	0.1737	0.0826	0.1347	0.2442	0.3404	0.9095	4.3859	8.0433	8.6627	5.5972	4.1929	3.6028	2.4557	0.9063	0.1688	0.0286	0	0	0	0
2003	1	2	110.6641	0.1	-1	1	-1	45.63	0.0119	0.0219	0.0554	0.1033	0.4146	1.8166	5.815	6.8746	5.1238	5.8807	3.6565	2.3069	1.4018	5.3823	20.876	28.1616	15.3016	5.0044	1.662	0.6194	0.1578	0.016	0	0	0
2004	1	2	214.5834	0.1	-1	1	-1	24.23	0.7741	0.4062	0.1959	0.0734	0.1897	0.1576	0.3882	0.5332	1.4265	2.6335	6.966	23.7241	55.164	61.8103	26.2566	8.6383	11.5672	9.1362	3.501	0.8366	0.1782	0.0263	0	0	0
2005	1	2	208.2987	0.1	-1	1	-1	42.25	3.3065	1.7916	0.8681	0.2672	0.5349	3.0686	7.5697	9.1978	5.421	2.0153	1.1699	1.4471	5.1145	18.5356	48.5545	60.1463	26.1996	7.6915	3.856	1.2682	0.2386	0.0108	0.0255	0	0
2006	1	2	182.7623	0.1	-1	1	-1	35.29	0.1537	0.0438	0.0457	0.1095	0.3824	2.8233	7.1943	7.8053	5.2736	2.1363	2.0693	4.9859	9.0457	9.8148	8.0968	16.7038	45.5464	46.0024	12.6828	1.5086	0.251	0.0868	0	0	0
2007	1	2	501.0971	0.1	-1	1	-1	17.46	0.1639	0.1883	0.3993	2.2056	6.8544	11.6736	10.4699	6.8544	13.6416	27.553	30.7726	29.1478	43.9876	66.8678	101.0927	81.8151	28.6473	18.6015	15.5528	4.2143	0.3561	0.0373	0	0	0
2008	1	2	417.5432	0.1	-1	1	-1	21.55	1.9741	2.1402	2.3611	0.9614	0.7593	1.0398	2.2493	3.2619	4.8825	6.4048	9.4715	16.7577	45.0963	84.597	98.9683	75.7491	39.8493	13.8283	5.4366	1.4456	0.2823	0.0269	0	0	0
